"GF+PATH Unique Antigens (+ GF PCR,AgB tests)",,,Show Duplicate: Enable,,,,,,,,,,,"Vlookup to Phase column I ""Phase"" in PATH-Antigen only-02/28/22",,,,,,,,,ADP COVID-19 Diagnostics Procurement Resource,PATH Antigen ,,Vlookup to GF Pricing- Column D,INDEX/MATCH to ADP COVID-19 Diagnostics Procurement resource Column T,Vlookup to GF Pricing- Column E,,0,10,10,15,11,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,277,277,GNT2011-1,Ezplex SARS-CoV-2 G Kit,ezplex g ,100T/kit,"SML GENETREE Co.,
 Ltd.",sml genetree ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,404,404,,Maglumi SARS-CoV-2 Ag (CLIA),maglumi ag clia,,"Snibe Co., Ltd (Shenzhen New Industries Biomedical Engineering Co., Ltd)",snibe  shenzhen new industries biomedical engineering ,China,#N/A,China,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1423,1423,2006R2,COVID-19 Real Time PCR kit v1, real time  v1,,"SNP Biotechnology R&D Ltd, Turkey (Wockhardt Ltd)",snp biotechnology rd  turkey wockhardt ,,,,,,,,,,,,,,,,,,,,,IND0580,,,,,IND0580,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,979,979,,COVIWOK™ COVID-19 RT-PCR Test kit,coviwok   ,,SNP Biotechnology R&D Ltd.,snp biotechnology rd ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0140,,,,,ZAF0140,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,243,243,,DiaPlexQ Novel Coronavirus (2019-nCoV) Detection Kit,diaplexq novel coronavirus 2019 detection ,,"SolGent Co., Ltd (represented by JK Toxpert)",solgent  represented jk toxpert,#N/A,#N/A,,#N/A,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,683,683,,Sona-COVID-19 LFA,sona  lfa,,Sona Nanotech,sona nanotech,Canada,#N/A,Canada,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://sonanano.com/wp-content/uploads/2020/09/Sona-Nanotech-COVID-19-LFA-Instructions-for-Use-IFU-CV-2-V00-RUO-1.pdf,https://sonanano.com/wp-content/uploads/2020/09/Sona-Nanotech-COVID-19-LFA-Instructions-for-Use-IFU-CV-2-V00-RUO-1.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,684,684,ASM-00144,Spartan COVID-19 System Test Cartridge,spartan  system  cartridge,see IFU,Spartan Bioscience Inc. (Canada),spartan bioscience  canada,#N/A,#N/A,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,504,504,,PlexPCR® SARS-CoV-2,plexpcr  ,,SpeeDx Pty Ltd (Australia),speedx pty  australia,#N/A,#N/A,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,902,902,,"Spring Healthcare COVID-
19 IgM/IgG rapid Test",spring healthcare  19 igmigg rapid ,,"Spring Healthcare Services
AG",spring healthcare servicesag,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0031,,,,,ZAF0031,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,616,616,,SARS-Cov-2 Antigen Rapid Test Cassette (Swab),  antigen rapid  cassette swab,,Spring Healthcare Services AG,spring healthcare services ag,Switzerland,#N/A,Switzerland,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://springhealthcare.org/wp-content/uploads/2020/12/IFU-_-EU.pdf,https://springhealthcare.org/wp-content/uploads/2020/12/IFU-_-EU.pdf,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1424,1424,SCT-COV-12894,Chitra SARS CoV2 Multiplex RT-PCR kit,chitra  cov2 multiplex ,,"SreeChitraTirunal Institute for Medical Sciences and Technology, Kerala",sreechitratirunal institute for medical sciencestechnology kerala,,,,,,,,,,,,,,,,,,,,,IND0581,,,,,IND0581,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,592,592,,SAIC-19 Ag Kit,saic 19 ag ,,"Sri Sathya Sai Institute of Higher Learning, Anantpur (Andhra Pradesh), India",sri sathya sai institute of higher learning anantpur andhra pradesh india,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,652,652,,SARS-CoV-2 Tru-EIA,  tru eia,,St. Petersburg Research Institute of Vaccines and Sera (FSUE SPbSRIVS FMBA),st petersburg research institute of vaccinessera fsue spbsrivs fmba,Russia,#N/A,Russia,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1425,1425,27032,Stellence Covid-19 RT-qPCR Kit,stellence  qpcr ,,Stellence Pharmsciences Pvt Ltd,stellence pharmsciences pvt ,,,,,,,,,,,,,,,,,,,,,IND0582,,,,,IND0582,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,355,355,,iNSTAXPLOR COVID19 Ag – Rapid Antigen Test,instaxplor 19 ag  rapid antigen ,,"STRUmed Solutions Pvt. Ltd., Chennai (TamilNadu), India",strumed solutions pvt  chennai tamilnadu india,India,#N/A,India,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://img1.wsimg.com/blobby/go/29e70578-eade-40f6-a276-5e9500bb7c6e/downloads/STRUmed%20IFU%20.pdf?ver=1608119901873,https://img1.wsimg.com/blobby/go/29e70578-eade-40f6-a276-5e9500bb7c6e/downloads/STRUmed%20IFU%20.pdf?ver=1608119901873,#N/A,#N/A,#N/A,,,IND0290,,,,,IND0290,,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1146,1146,"1, 2, 2003",iNSTAXPLOR™ COVID-19 Ag – Rapid Antigen Test,instaxplor  ag  rapid antigen ,,"STRUmed Solutions Pvt. Ltd., Chennai (TamilNadu), India",strumed solutions pvt  chennai tamilnadu india,,,,,,,#N/A,,,,,,,,,,,,,,IND0105,,,,,IND0105,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,661,661,,SGNP nCoV/Flu PCR Detection Kit,sgnp ncovflu detection ,,SUDx-Biotec Corporation,sudxbiotec corporation,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,1079,1079,,SGTi-flex COVID-19 IgM/IgG,sgti flex  igmigg,,"Sugentech Inc. – 721-26 Jeongjungyeonje-ro Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do 28161, Republic of Korea",sugentech 72126 jeongjungyeonjero osongeup heungdeokgu cheongjusi chungcheongbukdo 28161 republic of korea,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0150,,,,,PHL0150,
x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,664,664,COGT025E,SGTi-flex COVID-19 IgG,sgti flex  igg,25T/kit ,"Sugentech, Inc",sugentech ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,665,665,COGT005E,SGTi-flex COVID-19 IgG,sgti flex  igg,5T/kit,"Sugentech, Inc",sugentech ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,662,662,,SGTi-flex COVID-19 & Flu A/B Ag DUO,sgti flex flu ab ag duo,,"Sugentech, Inc.",sugentech ,Republic of Korea,#N/A,Republic of Korea,Test in development or commercialized,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,663,663,,SGTi-flex COVID-19 Ag,sgti flex  ag,,"Sugentech, Inc.",sugentech ,Republic of Korea,#N/A,Republic of Korea,Test approved by one or more regulatory bodies,,,CE-IVD,,,,,,#N/A,https://consultas.anvisa.gov.br/api/consulta/produtos/25351046621202032/anexo/T13667156/nomeArquivo/BL0350%20-%20REV03%20-%2012-2020%20-%20SGTI-FLEX%20COVID-19%20AG.pdf?Authorization=Guest,https://consultas.anvisa.gov.br/api/consulta/produtos/25351046621202032/anexo/T13667156/nomeArquivo/BL0350%20-%20REV03%20-%2012-2020%20-%20SGTI-FLEX%20COVID-19%20AG.pdf?Authorization=Guest,#N/A,#N/A,#N/A,,,,,ZAF0215,PHL0085,,,,ZAF0215,PHL0085,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1054,"1054, 1055",,Detection Kit for 2019 Novel Coronavirus (2019-nCoV) (PCR-Fluorescence),detection  2019 novel coronavirus 2019 fluorescence,,"Sun Yat-Sen University Da An Gene Company Limited – No.19 Xiangshan Road, Science park, High& New Technology Development District, Guangzhou, GuangDong, P.R. China",sun yatsen university da an gene company limited  no19 xiangshan road science park high new technology development district guangzhou guangdong pr china,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,PHL0034,,,,,"PHL0034, PHL0035",
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,7,7,,2019-nCoV Antigen Rapid Test (Colloidal Gold),2019 antigen rapid  colloidal gold,,"Sure Bio-Tech (USA) Co., Ltd",sure biotech usa ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,240,240,,Diagnostic Kit for SARS-CoV-2 Ag (Fluorescence Immunochromatographic Assay),diagnostic  ag fluorescence immunochromatographic assay,,"Sure Bio-Tech (USA) Co., Ltd",sure biotech usa ,USA,#N/A,USA,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,699,699,,SureScreen COVID-19 Antigen Rapid Test Cassette,surescreen  antigen rapid  cassette,,SureScreen Diagnostics Ltd,surescreen diagnostics ,United Kingdom,#N/A,United Kingdom,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,901,901,,Surescreen COVID-19 IgG/IgM rapid Test,surescreen  iggigm rapid ,,SureScreen Diagnostics Ltd,surescreen diagnostics ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0029,,,,,ZAF0029,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,354,354,,InstantSure Covid-19 Ag Card,instantsure  ag card,,"Suzhou Saier ImmunoBiotech CO., LTD, (Saier Biotech)",suzhou saier immunobiotech  saier biotech,Singapore,#N/A,Singapore,Test in development or commercialized,,,#N/A,,,,,,#N/A,http://en.saiertech.com/upload/202104/27/202104271634007987.pdf,http://en.saiertech.com/upload/202104/27/202104271634007987.pdf,#N/A,#N/A,#N/A,,,,,ZAF0223,,,,,ZAF0223,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,498,498,,PerkinElmer® SARS-CoV-2 Real-time RT-PCR Assay,perkinelmer real time assay,,Suzhou Sym-Bio Lifescience Co Ltd (China) (represented by PerkinElmer),suzhou symbio lifescience  china represented perkinelmer,#N/A,#N/A,,,TGA,,,FALSE,FALSE,FALSE,FALSE,TRUE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,ZAF0073,,,,,ZAF0073,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,12,12,,2019-nCoV Fluorescence Detection Real-time RT-PCR Kit,2019 fluorescence detection real time ,,Sysmex Corporation,sysmex corporation,#N/A,#N/A,,#N/A,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,321,321,,"HISCL SARS-CoV-2 Ag Assay
Kit",hiscl ag assay ,,Sysmex Corporation,sysmex corporation,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,322,322,,HISCL SARS-CoV-2 Ag Reagent Kit,hiscl ag reagent ,,Sysmex Corporation,sysmex corporation,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,,,,#N/A,,#N/A,,,IND0210,,,,,IND0210,,,,
,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,896,896,,Sienna COVID-19 IgG/IgM Rapid Test Cassette,sienna  iggigm rapid  cassette,,"T&D Diagnostics Canada Pvt. Ltd. 
",td diagnostics canada pvt  ,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0021,,,,,ZAF0021,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,701,701,80-10284,T2SARS-CoV-2 Panel,t2  panel,12T/kit,"T2 Biosystems, Inc.",t2 biosystems ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,284,284,,FORA COVID-19 Antigen Rapid test,fora  antigen rapid ,,TaiDoc Technology Corporation,taidoc technology corporation,Taiwan,#N/A,Taiwan,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://foracare-suisse-ag.app.box.com/s/a4jsuzbo8unzwf6ca7vpsbgcdkzg8mdg,https://foracare-suisse-ag.app.box.com/s/a4jsuzbo8unzwf6ca7vpsbgcdkzg8mdg,#N/A,#N/A,#N/A,,,IND0107,,,,,IND0107,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,746,746,,VTRUST COVID-19 Antigen Rapid test,vtrust  antigen rapid ,,TaiDoc Technology Corporation,taidoc technology corporation,Taiwan,#N/A,Taiwan,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,https://taidoc.com/wp-content/uploads/2020/09/Covid-19-antigen-rapid-test.pdf,https://taidoc.com/wp-content/uploads/2020/09/Covid-19-antigen-rapid-test.pdf,#N/A,#N/A,#N/A,,,,IDN0089,,,,,IDN0089,,,
,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,1233,1233,20J005-0000 20J122-0000 20J129-0000,FORA® COVID-19 Antigen Rapid Test,fora  antigen rapid ,,"TaiDoc Technology Corporation, Taiwan",taidoc technology corporation taiwan,,,,,,,#N/A,,,,,,,,,,,,,,IND0309,,,,,IND0309,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,702,702,,Takara SARS-CoV-2 Direct PCR detection kit,takara direct detection ,,Takara Bio Inc.,takara bio ,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,703,703,O11200-25,Talis One COVID-19 Cartridge Pack,talis one  cartridge pack,25T/kit,Talis Biomedical Corporation,talis biomedical corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1148,1148,K035-V001,TATA MD CHECK RT-PCR OmiSure,tata md check omisure,,"TATA Medical & Diagnostics Ltd., Mumbai (Maharashtra), India",tata medical  diagnostics  mumbai maharashtra india,,,,,,,,,,,,,,,,,,,,,IND0116,,,,,IND0116,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1428,1428,K014-V001,TATA MD CHECK RT-PCR 3 GENE,tata md check 3 gene,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0585,,,,,IND0585,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1429,1429,K022-V001,TATA MD CHECK RT-PCR FAST,tata md check fast,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0586,,,,,IND0586,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1430,1430,K021-V001,TATA MD CHECK RT-PCR FAST 3 GENE,tata md check fast 3 gene,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0587,,,,,IND0587,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1431,1431,K015-V001,TATA MD CHECK RT-PCR FLEX,tata md check flex,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0588,,,,,IND0588,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1426,1426,CM4D-21072,TATA MD CHECK RT-PCR XF,tata md check xf,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0583,,,,,IND0583,,,,
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1427,1427,CM4D-21073,TATA MD CHECK RT-PCR XF,tata md check xf,,Tata Medical and Diagnostics Ltd,tata medicaldiagnostics ,,,,,,,,,,,,,,,,,,,,,IND0584,,,,,IND0584,,,,
x,,SARS-CoV-2 Antigen Rapid Diagnostic Tests,335,335,,Immuno Ace SARS-CoV-2 / Capilia SARS-CoV-2,immuno ace  capilia  ,,"TAUNS LABORATORIES, INC.",tauns laboratories ,#N/A,#N/A,,#N/A,PMDA,,#N/A,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,342,342,,ImunoAce SARS-CoV-2/ Capilia SARS-CoV-2,imunoace capilia  ,60T/Kit ,"TAUNS LABORATORIES, INC.",tauns laboratories ,Japan,Japan,Japan,Test approved by one or more SRA,,,#N/A,,,,,,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,https://www.tauns.co.jp/wp-content/uploads/2020/08/sars-cov-2_packageinsert_c21.pdf,#N/A,$54.00,#N/A,$54.00,,IND0211,,,,,IND0211,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,275,275,68020,ExProbeTM SARS-CoV-2 Testing Kit,exprobetm ing ,,TBG Biotechnology Corp,tbg biotechnology corp,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Antibody Rapid Diagnostic Tests,714,714,20010,"TBG SARS-CoV-2 IgG / IgM
Rapid Test Kit",tbg igg  igmrapid  ,see IFU,TBG Biotechnology Corp.,tbg biotechnology corp,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1432,1432,210502,Covi-Detect -2 Real Time PCR Detection Kit,covi detect  2 real time detection ,,"TCM Limited, Kerala",tcm limited kerala,,,,,,,,,,,,,,,,,,,,,IND0589,,,,,IND0589,,,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,278,278,,FAST-COVID-SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold),fast  antigen rapid colloidal gold,,TECNO-BIOS SRL,tecnobios srl,Italy,#N/A,Italy,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,638,638,"PGA4102P1 (liquid) / PGA4102P2
 (lyophilized form)","SARS-CoV-2 Nucleic acid detection kit based on Real-
Time PCR platform",  nucleic acid detection  based on real time platform,,Tellgen Corporation,tellgen corporation,#N/A,#N/A,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0212,,,,,IND0212,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1433,1433,TBL20001,GEN-COV Corona Virus Single Tube Multiplex RT-PCR Detection kit,gen  corona virus single tube multiplex detection ,,"Theragen Biologics Private Limited, Tamil Nadu",theragen biologics private limited tamil nadu,,,,,,,,,,,,,,,,,,,,,IND0590,,,,,IND0590,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,704,704,A48067,"TaqPath COVID-19 CE-IVD RT-
PCR Kit",taqpath  ce ivd ,1000T/kit,Thermo Fisher Scientific Inc,thermo fisher scientific ,#N/A,#N/A,,,WHO EUL,,,FALSE,FALSE,TRUE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,IND0213,,,,,IND0213,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,707,707,A47813,TaqPath COVID-19 Combo Kit Advanced,taqpath  combo  advanced,200T/kit,Thermo Fisher Scientific Inc,thermo fisher scientific ,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,710,710,A47817,Taqpath COVID-19 Rt-PCR Kit,taqpath  ,,Thermo Fisher Scientific Inc,thermo fisher scientific ,#N/A,#N/A,,,Health Canada/Interim Order,,,FALSE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,42,42,A49869,Amplitude™ Solution with TaqPath COVID-19 High Throughput Combo Kit,amplitude solution with taqpath  high throughput combo ,20000/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,#N/A,"US FDA EUA
 Health Canada/Interim Order",,,TRUE,TRUE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,706,706,A47814,TaqPath COVID-19 Combo Kit,taqpath  combo ,1000T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,708,708,A51606,"TaqPath COVID-19 FAST PCR
Combo Kit 2.0",taqpath  fast pcrcombo  20,1T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,709,709,A51333,TaqPath COVID-19 RNase P Combo Kit 2.0,taqpath  rnase combo  20,1T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,711,711,A49868,"TaqPath COVID-19, FluA, FluB Combo Kit",taqpath  flua flub combo ,1000T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,712,712,,"TaqPath New Coronavirus (SARS-CoV-2) Real-Time PCR
Detection Kit",taqpath new coronavirus real time pcrdetection ,,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,PMDA,,,FALSE,FALSE,FALSE,TRUE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,713,713,A49918,"TaqPath™ COVID-19 Pooling
Kit",taqpath  pooling ,384T/kit,Thermo Fisher Scientific Inc (see also Life Technologies Corporation),thermo fisher scientific  see also life technologies corporation,#N/A,#N/A,,,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,#N/A,#N/A,#N/A,,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,1434,1434,I1-7-07-00-14,CoviPathCovid 19 RT PCR Kit (A50780),covipath  a50780,,"Thermo Fisher Scientific, US (Invitrogen Bioservices India Pvt Ltd)",thermo fisher scientific us invitrogen bioservices india pvt ,,,,,,,,,,,,,,,,,,,,,IND0591,,,,,IND0591,,,,
x,,SARS-CoV-2 Nucleic Acid Amplification Technologies,214,214,TD1100,COVID-19 RT-PCR PNA Kit, pna ,100T/kit,"TNS Co., Ltd (Bio TNS)",tns  bio tns,#N/A,#N/A,,#N/A,US FDA EUA,,,TRUE,FALSE,FALSE,FALSE,FALSE,#N/A,#N/A,,$550.00,#N/A,$5.50,$5.50,,,,,,,,,,,Yes
,,SARS-CoV-2 Nucleic Acid Amplification Technologies,956,956,,COVID-19 RT-PCR PNA KIT, pna ,,"TNS Co.,Ltd",tns co,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,ZAF0111,,,,,ZAF0111,,
,x,SARS-CoV-2 Antigen Rapid Diagnostic Tests,135,135,,"Coronavirus (SARS-CoV 2) & Influenza A+B, Antigen, combo - Nasopharyngeal Specimen",coronavirus  influenza ab antigen combo nasopharyngeal specimen,,Tody Laboratories Int.,tody laboratories int,Romania,#N/A,Romania,Test approved by one or more regulatory bodies,,,#N/A,,,,,,#N/A,,,#N/A,#N/A,#N/A,,,,,,,,,,,,
